action_in_proj.bias	shape=(1024,)	dtype=torch.bfloat16	numel=1024
paligemma_with_expert.gemma_expert.model.layers.11.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.11.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.11.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.11.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.11.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.11.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.11.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.11.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.11.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.11.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.11.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.12.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.12.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.12.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.12.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.12.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.12.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.12.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.12.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.12.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.12.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.12.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.13.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.13.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.13.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.13.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.13.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.13.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.13.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.13.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.13.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.13.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.13.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.14.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.14.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.14.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.14.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.14.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.14.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.14.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.14.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.14.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.14.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.14.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.15.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.15.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.15.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.15.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.15.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.15.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.15.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.15.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.15.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.15.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.15.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.16.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.16.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.16.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.16.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.16.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.16.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.16.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.16.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.16.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.16.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.16.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.17.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.17.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.17.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.17.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.17.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.17.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.17.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.17.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.17.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.17.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.17.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.2.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.2.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.2.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.2.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.2.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.2.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.2.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.2.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.2.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.2.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.2.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.3.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.3.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.3.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.3.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.3.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.3.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.3.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.3.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.3.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.3.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.3.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.4.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.4.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.4.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.4.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.4.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.4.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.4.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.4.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.4.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.4.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.4.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.5.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.5.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.5.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.5.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.5.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.5.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.5.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.5.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.5.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.5.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.5.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.6.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.6.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.6.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.6.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.6.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.6.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.6.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.6.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.6.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.6.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.6.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.7.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.7.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.7.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.7.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.7.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.7.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.7.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.7.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.7.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.7.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.7.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.8.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.8.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.8.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.8.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.8.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.8.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.8.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.8.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.8.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.8.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.8.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.9.input_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.9.input_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.9.mlp.down_proj.weight	shape=(1024, 4096)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.9.mlp.gate_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.9.mlp.up_proj.weight	shape=(4096, 1024)	dtype=torch.bfloat16	numel=4194304
paligemma_with_expert.gemma_expert.model.layers.9.post_attention_layernorm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.layers.9.post_attention_layernorm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.gemma_expert.model.layers.9.self_attn.k_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.layers.9.self_attn.o_proj.weight	shape=(1024, 2048)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.9.self_attn.q_proj.weight	shape=(2048, 1024)	dtype=torch.bfloat16	numel=2097152
paligemma_with_expert.gemma_expert.model.layers.9.self_attn.v_proj.weight	shape=(256, 1024)	dtype=torch.bfloat16	numel=262144
paligemma_with_expert.gemma_expert.model.norm.dense.bias	shape=(3072,)	dtype=torch.bfloat16	numel=3072
paligemma_with_expert.gemma_expert.model.norm.dense.weight	shape=(3072, 1024)	dtype=torch.bfloat16	numel=3145728
paligemma_with_expert.paligemma.lm_head.weight	shape=(257152, 2048)	dtype=torch.bfloat16	numel=526647296
